,overall,relevant,irrelevant
1,5411,3983,1428
2,5379,3973,1406
3,5286,3946,1340
4,5091,3883,1208
5,4799,3727,1072
6,4511,3573,938
7,4326,3478,848
8,4108,3331,777
9,3925,3208,717
10,3700,3044,656
