,overall,relevant,irrelevant
1,5411,3983,1428
2,5261,3908,1353
3,4941,3757,1184
4,4590,3609,981
5,4209,3404,805
6,3773,3102,671
7,3295,2729,566
8,2863,2364,499
9,2390,1981,409
10,1932,1635,297
