,overall,relevant,irrelevant
1,53393,26155,27238
2,52053,25916,26137
3,48748,25228,23520
4,44352,23974,20378
5,40131,22363,17768
6,36775,20784,15991
7,34240,19591,14649
8,31901,18336,13565
9,29938,17203,12735
10,27990,16054,11936
